Area_Code,Area,Item_Code,Item,CPC_Code,Element_Code,Element,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
79,Germany,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,2180707,1789700,1570337,1420300,1407800,1481800,1447600,1367000,1374000,1303500,1361500,1316375,1226235,1258000,1166900,1193180,1185724,1199431,1189615,1205002,1170376,1146255,1116507,1142603,1132340,1155483,1137008,1109000,1107000,1091000
68,France,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,2026068,1876800,1703800,1626800,1683300,1737000,1720000,1632000,1609000,1527600,1561442,1646277,1632047,1577971,1546741,1486675,1502561,1502901,1515808,1530258,1566806,1493865,1400331,1410854,1447906,1466099,1432780,1460000,1428460,1434590
67,Finland,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,121670,117280,106350,107620,96170,96550,99610,93760,90480,91430,89770,90730,95820,93290,86710,87150,88570,81900,82050,83040,83500,81180,81190,83069,86490,86720,86080,87060,87760,87110
64,Faroe Islands,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,76,77,81,89,90,87,89,84,85,89,91,93,93,91,83,81,78,78,78,78,96,96,96,102,94,90,91,90,90,90
63,Estonia,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,,45362,42567,31035,25776,22114,18983,19300,21739,15383,14159,16508,13149,15242,13431,14829,15422,14277,14172,12926,12187,12275,11481,9800,12600,14800,11900,9760,9250,9580
57,Belarus,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,,495100,410700,384000,315600,276600,255800,270700,262100,212500,230900,226500,211400,223800,255800,271800,274400,268900,307900,308100,297800,293000,315700,295500,339000,327200,317300,326000,328000,340500
54,Denmark,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,212536,217000,203100,189300,181700,178000,174800,161800,156588,153900,153400,153500,146500,150000,135921,128650,129986,128800,127900,132500,134200,126700,128000,125759,120491,129340,124148,130200,125600,122430
51,Czechoslovakia,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bulgaria,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,108403,134886,116500,89243,64802,78829,56317,55000,61500,60700,21650,23804,28727,30887,30025,22989,21778,20029,22040,19809,20991,20684,19366,17632,18666,17638,17373,17209,18355,17048
15,Belgium-Luxembourg,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Austria,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,243791,246667,223342,211870,195880,222350,206021,196882,203333,203489,215240,211855,207737,206103,204468,216478,217784,224231,226294,226677,222168,222156,228913,223193,229648,228335,226859,233460,229610,218360
3,Albania,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,21100,23400,24300,28300,30800,32600,32500,32000,33700,35900,35300,37600,40000,39600,40800,48651,49775,39600,39000,40800,41200,41460,41820,38070,38556,38880,39017,38544,36709,32870
273,Montenegro,866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,117482,114922,109378,106494,100835,85844,87173,84701,89058,92452,89269,86649,83264,81400,80018
272,Serbia,866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,1106000,1087077,1057435,1002295,938038,936570,920762,913144,920068,915641,892751,898650,878336,898178,886127
256,Luxembourg,866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,205072,205193,197257,189674,186725,185235,183640,191928,195661,196470,198892,192535,188473,193623,198780,201036,201416,202281,194390,192100,190690
255,Belgium,866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,3041560,3037760,2891260,2778077,2738648,2698649,2669076,2649392,2605532,2600453,2593000,2560319,2484272,2454704,2477236,2503262,2501349,2385988,2398090,2373100,2335440
248,Yugoslav SFR,866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Ukraine,866,Cattle,'02111,5111,Stocks,Head,,23727600,22456800,21607300,19624300,17557300,15313200,12758500,11721600,10626500,9423700,9421100,9108400,7712100,6902900,6514100,6175400,5490900,5079000,4826700,4494400,4425800,4645900,4397700,3884000,3750000,3682300,3530800,3332900,3092000
229,United Kingdom of Great Britain and Northern Ireland,866,Cattle,'02111,5111,Stocks,Head,11885000,11924000,11851000,11954000,11857000,12040000,11633000,11519000,11423000,11133000,10600000,10343000,10517000,10551000,10770200,10579000,10304000,10107000,10025000,10112000,9933000,9900000,9844000,9837000,9919000,10033000,10004000,9892000,9739000,9615000
228,USSR,866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Switzerland,866,Cattle,'02111,5111,Stocks,Head,1828900,1782600,1745087,1755400,1748274,1747071,1672900,1640871,1608735,1588005,1611351,1593697,1570178,1544547,1554696,1566900,1571764,1604287,1597484,1591233,1577407,1564631,1557474,1562801,1554319,1555396,1544612,1543345,1524820,1515023
210,Sweden,866,Cattle,'02111,5111,Stocks,Head,1706778,1775302,1807366,1826489,1777000,1790200,1781000,1738500,1713000,1683700,1651500,1637465,1606674,1628464,1604933,1590409,1559725,1558381,1538281,1536700,1511846,1500293,1496526,1493119,1428400,1436050,1448590,1435450,1404670,1390960
203,Spain,866,Cattle,'02111,5111,Stocks,Head,5126000,5063000,4976000,5018000,5248000,5512000,5925000,5884000,5965000,6216883,6410780,6477895,6548379,6653087,6463430,6184092,6584980,6020200,6082400,6075100,5923200,5812600,5696910,6078700,6182908,6257057,6465747,6510590,6600330,6636430
199,Slovakia,866,Cattle,'02111,5111,Stocks,Head,,,1181660,992963,916153,928706,891991,803398,704792,665055,646148,625190,607835,593182,540146,527889,507820,501817,488381,471965,467125,463358,471091,467820,465543,457586,446112,438860,432250,442290
198,Slovenia,866,Cattle,'02111,5111,Stocks,Head,,483865,503770,477548,477400,495535,486198,445724,453097,471425,493670,477075,473242,450226,451136,452517,454033,479581,469983,472878,470151,462300,460063,460576,468253,484192,488598,476810,483070,485610
185,Russian Federation,866,Cattle,'02111,5111,Stocks,Head,,54676704,52226000,48914000,43296500,39696000,35102800,31519900,28480800,28060323,27519840,27390195,26846084,25091098,23153790,21625028,21561609,21546025,21038029,20671328,19967864,20111029,19930354,19563964,19263687,18620932,18346089,18294228,18151394,18126003
183,Romania,866,Cattle,'02111,5111,Stocks,Head,5380700,4355000,3683100,3956782,3480800,3496300,3434900,3235400,3143000,3051000,2870000,2800000,2878000,2897000,2808000,2862000,2934000,2819000,2684000,2512300,2001105,1988939,2009135,2022408,2068888,2092414,2049700,1977200,1923300,1910900
174,Portugal,866,Cattle,'02111,5111,Stocks,Head,1367000,1398000,1336000,1348000,1363000,1386000,1389000,1386000,1409000,1421000,1414000,1404000,1395000,1389000,1443000,1440800,1452000,1491000,1495000,1447000,1503000,1497500,1471000,1549000,1606000,1635000,1670000,1632420,1674970,1691320
173,Poland,866,Cattle,'02111,5111,Stocks,Head,8844000,8221359,7642576,7695680,7305594,7136466,7307382,6955251,6555033,6082549,5734339,5532728,5488943,5353421,5483290,5606358,5696186,5756639,5700017,5742094,5761878,5776767,5859540,5920411,5960693,5939046,6143083,6183300,6261600,6278900
167,Czechia,866,Cattle,'02111,5111,Stocks,Head,,,2511737,2161438,2029827,1988810,1865902,1700789,1657337,1573530,1582027,1520136,1473828,1428329,1397308,1373645,1391393,1401607,1363213,1349286,1343686,1353685,1352822,1373560,1407132,1415658,1421242,1365240,1367050,1340040
162,Norway,866,Cattle,'02111,5111,Stocks,Head,974185,982507,974736,979456,988403,1005766,1017775,1036416,1033070,987915,978854,958661,956916,943208,933698,922976,905515,891170,878134,874529,864139,861924,853655,840000,853327,872145,885292,881881,872955,869136
154,North Macedonia,866,Cattle,'02111,5111,Stocks,Head,,282349,284919,280324,281336,283237,294613,289000,267000,270000,265000,259000,260000,255000,248185,255430,253766,253473,252521,259887,265299,251240,238333,241607,253442,254768,255036,256181,217790,222202
150,Netherlands,866,Cattle,'02111,5111,Stocks,Head,5062000,4920000,4797000,4716000,4654000,4557000,4411000,4283000,4206000,4070000,4047000,3858000,3759000,3767000,3799000,3749000,3763000,3890000,3967600,3975190,3885350,3879250,3999220,4169000,4315000,4294000,4030000,3690000,3721000,3691000
146,Republic of Moldova,866,Cattle,'02111,5111,Stocks,Head,,771891,591473,815060,750835,726497,570044,485442,452000,422969,394006,404845,409639,372838,330593,310476,299105,231716,217712,221622,215951,203875,191200,188862,191214,186116,182339,167423,144828,123713
134,Malta,866,Cattle,'02111,5111,Stocks,Head,22000,22000,21500,19800,18500,21000,21000,19000,20000,19200,19200,19003,18770,17940,19408,19742,19233,19442,16264,14954,15074,15593,15220,14883,15020,14356,14184,14120,14000,14010
126,Lithuania,866,Cattle,'02111,5111,Stocks,Head,,2196600,1701000,1384300,1152400,1065100,1054100,1016300,922800,897800,748300,751700,779100,812100,792000,800300,838800,787900,770900,759400,748000,752400,729200,713500,736612,722602,694752,653500,634600,629500
119,Latvia,866,Cattle,'02111,5111,Stocks,Head,,1382900,1144300,677900,550800,537060,509400,476900,434400,378400,366700,384700,388100,378600,371100,385200,377100,398700,380200,378200,379500,380600,393100,406500,422019,419084,412314,395330,395320,398990
106,Italy,866,Cattle,'02111,5111,Stocks,Head,8140000,8004000,7600300,7458900,7163600,7265100,7162500,7166000,7129000,7162000,6050000,6739000,6504703,6504000,6304000,6255000,6117000,6283000,6179000,6103000,5832457,6091471,5846672,5756072,5781348,5929767,5949393,6311160,6377230,6400040
104,Ireland,866,Cattle,'02111,5111,Stocks,Head,6100500,6147400,6236400,6263900,6343900,6450600,6660900,6881600,6951700,7037400,7049700,6992200,6999500,7015600,6991800,6977800,6890900,6902100,6890700,6606600,6493000,6754100,6902600,6926100,6963500,7221200,7363498,6593490,6559650,6529440
99,Iceland,866,Cattle,'02111,5111,Stocks,Head,77681,76034,73912,71923,73199,74816,74791,75500,74534,72135,70168,67225,66035,64639,65979,68670,70660,72012,73498,73781,72773,71513,68014,74444,78628,79923,80895,81385,80872,80643
98,Croatia,866,Cattle,'02111,5111,Stocks,Head,,590000,589635,518708,493418,461645,451266,443000,438543,426570,438423,417113,444320,465935,471025,482905,467077,453555,447000,444000,446555,452000,442000,441000,440092,444613,450757,414000,420000,423000
97,Hungary,866,Cattle,'02111,5111,Stocks,Head,1571000,1420046,1159000,999000,910000,928000,909000,871000,873000,857000,805000,783000,770000,739000,723000,708000,702000,705000,701000,700000,682000,697000,760000,782000,802000,821000,852000,885000,909000,933000
84,Greece,866,Cattle,'02111,5111,Stocks,Head,623514,601831,587177,579028,577808,581081,580408,580317,583367,601933,613060,621358,625854,620686,603993,617695,628885,623643,626301,627192,627132,622715,608964,599875,606705,608857,610690,542000,530000,539000
80,Bosnia and Herzegovina,866,Cattle,'02111,5111,Stocks,Head,,550000,550000,500000,403000,330000,411800,425743,442537,461928,440000,410000,440000,452895,459790,514869,467986,459218,457743,462368,455258,444595,446893,444000,454810,455191,444522,438006,429653,427461
79,Germany,866,Cattle,'02111,5111,Stocks,Head,19488000,17133800,16207340,15896620,15962237,15889915,15759573,15227152,14942024,14657901,14567737,14226600,13643703,13195800,13034500,12747900,12686644,12969674,12944903,12809492,12562600,12477389,12587020,12742190,12635456,12466586,12281195,11949090,11639530,11301860
68,France,866,Cattle,'02111,5111,Stocks,Head,21097138,20654916,20446184,20450490,20540297,20507820,20205040,20051494,20066844,21256247,21137970,20461291,19772441,19516224,19421068,19534688,19885156,20046940,19805378,19555173,19085561,19005649,19095797,19248627,19386522,19373382,18953568,18613040,18172970,17789250
67,Finland,866,Cattle,'02111,5111,Stocks,Head,1309900,1273200,1252300,1233000,1147900,1145600,1142400,1117100,1086800,1056700,1037400,1025400,1000200,969000,958925,949291,926694,915345,918268,925808,914053,912768,911847,914439,914717,909021,893178,859380,840740,835380
64,Faroe Islands,866,Cattle,'02111,5111,Stocks,Head,2000,2000,2129,2304,2322,2249,2271,2149,2192,2306,2371,2398,2397,2342,2135,2069,2093,1981,2043,1990,1952,1899,1943,1917,1872,1831,1875,1841,1808,1778
