,Date,Country,Price,Year,Month,Week
238,2007-01-22,BE,288.11,2007,1,4
239,2007-01-29,BE,287.97,2007,1,5
240,2007-02-05,BE,288.8,2007,2,6
241,2007-02-12,BE,288.56,2007,2,7
242,2007-02-19,BE,287.21,2007,2,8
243,2007-02-26,BE,286.96,2007,2,9
244,2007-03-05,BE,285.49,2007,3,10
245,2007-03-12,BE,283.86,2007,3,11
246,2007-03-19,BE,282.44,2007,3,12
247,2007-03-26,BE,281.87,2007,3,13
248,2007-04-02,BE,281.72,2007,4,14
249,2007-04-09,BE,282.6,2007,4,15
250,2007-04-16,BE,282.8,2007,4,16
251,2007-04-23,BE,281.96,2007,4,17
252,2007-04-30,BE,283.89,2007,4,18
253,2007-05-07,BE,284.34,2007,5,19
254,2007-05-14,BE,283.08,2007,5,20
255,2007-05-21,BE,282.23,2007,5,21
256,2007-05-28,BE,280.29,2007,5,22
257,2007-06-04,BE,278.05,2007,6,23
258,2007-06-11,BE,274.94,2007,6,24
259,2007-06-18,BE,273.07,2007,6,25
260,2007-06-25,BE,272.23,2007,6,26
261,2007-07-02,BE,271.89,2007,7,27
262,2007-07-09,BE,272.46,2007,7,28
263,2007-07-16,BE,272.41,2007,7,29
264,2007-07-23,BE,274.27,2007,7,30
265,2007-07-30,BE,275.79,2007,7,31
266,2007-08-06,BE,278.47,2007,8,32
267,2007-08-13,BE,278.53,2007,8,33
268,2007-08-20,BE,280.25,2007,8,34
269,2007-08-27,BE,280.19,2007,8,35
270,2007-09-03,BE,279.37,2007,9,36
271,2007-09-10,BE,282.28,2007,9,37
272,2007-09-17,BE,283.81,2007,9,38
273,2007-09-24,BE,283.06,2007,9,39
274,2007-10-01,BE,282.92,2007,10,40
275,2007-10-08,BE,284.56,2007,10,41
276,2007-10-15,BE,284.88,2007,10,42
277,2007-10-22,BE,285.49,2007,10,43
278,2007-10-29,BE,284.99,2007,10,44
279,2007-11-05,BE,284.76,2007,11,45
280,2007-11-12,BE,285.96,2007,11,46
281,2007-11-19,BE,285.4,2007,11,47
282,2007-11-26,BE,285.03,2007,11,48
283,2007-12-03,BE,287.07,2007,12,49
284,2007-12-10,BE,286.63,2007,12,50
285,2007-12-17,BE,285.42,2007,12,51
286,2007-12-24,BE,284.93,2007,12,52
287,2007-12-31,BE,285.71,2007,12,1
288,2008-01-07,BE,286.62,2008,1,2
289,2008-01-14,BE,288.08,2008,1,3
290,2008-01-21,BE,288.11,2008,1,4
291,2008-01-28,BE,287.79,2008,1,5
292,2008-02-04,BE,288.16,2008,2,6
293,2008-02-11,BE,290.0,2008,2,7
294,2008-02-18,BE,290.49,2008,2,8
295,2008-02-25,BE,292.44,2008,2,9
296,2008-03-03,BE,292.47,2008,3,10
297,2008-03-10,BE,292.7,2008,3,11
298,2008-03-17,BE,292.78,2008,3,12
299,2008-03-24,BE,291.43,2008,3,13
300,2008-03-31,BE,290.63,2008,3,14
301,2008-04-07,BE,290.66,2008,4,15
